"學年度","學制","行政區","學校名稱","基本學區原文","自由學區原文","備註原文","頁碼"
"115","國小","中和區","永和區永和國小","一、安平里、中安
里、安和里、
安順里、安樂
里、宜安里
二、永和區永安
里、永樂里、
潭墘里、潭安
里、店街里、
大新里、福和
里、得和里、
水源里(2-6
鄰)、永貞里
(9-13鄰)","一、永和區雙和里
【中和國
小、永和區永
和、永平國小
自由學區】
二、永和區安和
里、水源里
(1、7-21
鄰)【永和區
永和、永平國
小自由學區】","調整備註","28"
"115","國小","中和區","板橋區海山國小","一、瑞穗里(1-6
鄰)、員山里
(11-22、25
-35、37-
42鄰)
二、板橋區民族
里、深丘里、
香丘里、海山
里、長安里、
東安里、福丘
里(8-19
鄰)、九如里
(12、13
鄰)、新民里
(1、10-25
鄰)","","","29"
"115","國小","中和區","板橋區實踐國小","一、民生里、國光
里(1-12、
23-39鄰)、
德穗里(1-
7、26-29鄰)
二、板橋區福祿
里、福德里(8
-25鄰)、
國泰里、後埔
里(14-17
鄰)、福丘里
(1-7鄰)","一、國光里(13
-22鄰)【自
強國小、板橋
區實踐國小
自由學區】
二、板橋區後埔里
(1-13鄰)
【板橋區實
踐國小、後埔
國小自由學
區】","◎板橋區後埔里
(14-17鄰)經
里辦公處證明後
請後埔國小考量
配合就讀。","29"
"115","國小","永和區","網溪國小","網溪里、光復里、
復興里、正興里、
中興里、永興里、
永福里、上林里、
福林里、竹林里、
桂林里、勵行里、
豫溪里、光明里、
永貞里(1-8、14
-20鄰)","河濱里【網溪、秀
朗國小自由學區】","","30"
"115","國小","永和區","頂溪國小","忠義里、永成里、
仁愛里、頂溪里、
後溪里、上溪里、
信義里、文化里、
新廍里、河堤里、
新生里(1-14
鄰)、中溪里(16
-18鄰)、下溪
里(1-8、10-11
鄰)、大同里(1
-9鄰)","一、中溪里(13
鄰)【頂溪、
永平國小自
由學區】
二、新生里(15
-18鄰)、
中溪里(1-
12、14-15、
19-20鄰)、
下溪里(9、
12-15鄰)、
大同里(10
-18鄰)【永
和區永平、頂
溪國小自由
學區】","","30"
"115","國小","永和區","秀朗國小","秀朗里、秀和里、
秀得里、秀林里、
秀成里、秀元里、
民族里、民生里、
民本里、民樂里、
民富里、永元里","一、智光里、民治
里、民權里
【秀朗、中和
區秀山國小
自由學區】
二、河濱里【秀
朗、網溪國小
自由學區】","調整備註","30"
"115","國小","永和區","永平國小","前溪里、保平里、
保安里、協和里、
和平里、保順里","一、雙和里【永
平、永和、中
和區中和國
小自由學區】
二、安和里、水源
里(1、7-21
鄰)【永平、
永和國小自
由學區】
三、中溪里(13
鄰)【永平、
頂溪國小自
由學區】
四、中和區福祥
里、福美里、
佳和里(7-
29鄰)、瓦
磘里(1-
15、17-20、
23-26、28
-29鄰)【永
平、中和區中
和國小自由
學區】
五、新生里(15
-18鄰)、
中溪里(1-
12、14-15、
19-20鄰)、
下溪里(9、
12-15鄰)、
大同里(10
-18鄰)【永
和區永平、頂
溪國小自由
學區】","調整備註","31"
"115","國小","永和區","永和國小","一、安平里、中安
里、安和里、
安順里、安樂
里、宜安里
二、永和區永安
里、永樂里、
潭墘里、潭安
里、店街里、
大新里、福和
里、得和里、
水源里(2-6
鄰)、永貞里
(9-13鄰)","一、永和區雙和里
【中和國
小、永和區永
和、永平國小
自由學區】
二、永和區安和
里、水源里
(1、7-21
鄰)【永和區
永和、永平國
小自由學區】","","32"
"115","國小","汐止區","汐止國小","仁德里、義民里、
禮門里、智慧里、
大同里、信望里、
江北里","一、復興里【汐
止、秀峰國小
自由學區】
二、白雲里(1-9
鄰)【汐止、
白雲、秀峰國
小自由學區】
三、八連里(1-4
鄰)【汐止、
北港國小自
由學區】","","33"
"115","國小","汐止區","秀峰國小","秀峰里、秀山里、
福安里","一、復興里【秀
峰、汐止國小
自由學區】
二、白雲里(1-9
鄰)【秀峰、
白雲、汐止國
小自由學區】
三、白雲里(10
-26鄰)【秀
峰、青山國中
小國小部自
由學區】
四、新昌里(15
-30鄰)【秀
峰、崇德國小
自由學區】","◎青山國中小國
小部學區內學
齡兒童(文化
里、自強里)，
兄姐已就讀秀
峰國小者，為方
便家長接送可
優先就讀秀峰
國小。","33"
